代碼,學校名稱,公/私立,縣市名稱,地址
024601,縣立中山國小,公立,[02]宜蘭縣,宜蘭縣宜蘭市崇聖街4號
024602,縣立宜蘭國小,公立,[02]宜蘭縣,宜蘭縣宜蘭市崇聖街2號
024603,縣立力行國小,公立,[02]宜蘭縣,宜蘭縣宜蘭市力行路152號
024604,縣立新生國小,公立,[02]宜蘭縣,宜蘭縣宜蘭市大坡路一段100號
024605,縣立光復國小,公立,[02]宜蘭縣,宜蘭縣宜蘭市泰山路60號
024606,縣立育才國小,公立,[02]宜蘭縣,宜蘭縣宜蘭市進士路一段32號
024607,縣立凱旋國小,公立,[02]宜蘭縣,宜蘭縣宜蘭市凱旋路130號
024608,縣立黎明國小,公立,[02]宜蘭縣,宜蘭縣宜蘭市校舍路1號
024609,縣立南屏國小,公立,[02]宜蘭縣,宜蘭縣宜蘭市泰山路98號
024610,縣立羅東國小,公立,[02]宜蘭縣,宜蘭縣羅東鎮民族路1號
024611,縣立成功國小,公立,[02]宜蘭縣,宜蘭縣羅東鎮興東南路100號
024612,縣立公正國小,公立,[02]宜蘭縣,宜蘭縣羅東鎮公正路199號
024613,縣立北成國小,公立,[02]宜蘭縣,宜蘭縣羅東鎮北成路一段125號
024614,縣立竹林國小,公立,[02]宜蘭縣,宜蘭縣羅東鎮復興路二段128號
024615,縣立蘇澳國小,公立,[02]宜蘭縣,宜蘭縣蘇澳鎮中山路一段366號
024616,縣立馬賽國小,公立,[02]宜蘭縣,宜蘭縣蘇澳鎮永榮里大同路108號
024617,縣立蓬萊國小,公立,[02]宜蘭縣,宜蘭縣蘇澳鎮南澳路85號
024618,縣立士敏國小,公立,[02]宜蘭縣,宜蘭縣蘇澳鎮光明路8號
024619,縣立永樂國小,公立,[02]宜蘭縣,宜蘭縣蘇澳鎮永樂路1號
024620,縣立南安國小,公立,[02]宜蘭縣,宜蘭縣蘇澳鎮南建里學府路122號
024621,縣立岳明國(中)小,公立,[02]宜蘭縣,宜蘭縣蘇澳鎮嶺腳路140號
024622,縣立育英國小,公立,[02]宜蘭縣,宜蘭縣蘇澳鎮褔德路134號
024623,縣立頭城國小,公立,[02]宜蘭縣,宜蘭縣頭城鎮開蘭路282號
024624,縣立竹安國小,公立,[02]宜蘭縣,宜蘭縣頭城鎮竹安里頭濱路一段601號
024625,縣立二城國小,公立,[02]宜蘭縣,宜蘭縣頭城鎮青雲路二段200號
024626,縣立大溪國小,公立,[02]宜蘭縣,宜蘭縣頭城鎮濱海路4段250號
024627,縣立大里國小,公立,[02]宜蘭縣,宜蘭縣頭城鎮濱海路七段65號
024628,縣立梗枋國小,公立,[02]宜蘭縣,宜蘭縣頭城鎮更新路59號
024629,縣立礁溪國小,公立,[02]宜蘭縣,宜蘭縣礁溪鄉大忠村礁溪路四段135號
024630,縣立四結國小,公立,[02]宜蘭縣,宜蘭縣礁溪鄉吳沙村育英路46號
024631,縣立龍潭國小,公立,[02]宜蘭縣,宜蘭縣礁溪鄉龍潭村育龍路71號
024632,縣立玉田國小,公立,[02]宜蘭縣,宜蘭縣礁溪鄉玉民路一段169號
024633,縣立三民國小,公立,[02]宜蘭縣,宜蘭縣礁溪鄉三民村十六結路100號
024634,縣立員山國小,公立,[02]宜蘭縣,宜蘭縣員山鄉員山村復興路39號
024635,縣立深溝國小,公立,[02]宜蘭縣,宜蘭縣員山鄉深溝村惠民路266號
024636,縣立七賢國小,公立,[02]宜蘭縣,宜蘭縣員山鄉浮洲路30號
024637,縣立同樂國小,公立,[02]宜蘭縣,宜蘭縣員山鄉同樂村新城路84之4號
024638,縣立湖山國小,公立,[02]宜蘭縣,宜蘭縣員山鄉枕山村坡城路54號
024639,縣立大湖國小,公立,[02]宜蘭縣,宜蘭縣員山鄉湖東村蜊埤路55號
024640,縣立內城國(中)小,公立,[02]宜蘭縣,宜蘭縣員山鄉內城村內城路545號
024643,縣立壯圍國小,公立,[02]宜蘭縣,宜蘭縣壯圍鄉吉祥村壯五路55號
024644,縣立古亭國小,公立,[02]宜蘭縣,宜蘭縣壯圍鄉古亭村古亭路81號
024645,縣立公館國小,公立,[02]宜蘭縣,宜蘭縣壯圍鄉紅葉路69號
024646,縣立過嶺國小,公立,[02]宜蘭縣,宜蘭縣壯圍鄉過嶺村壯濱路三段261號
024647,縣立大福國小,公立,[02]宜蘭縣,宜蘭縣壯圍鄉大福村大福路一段62巷26號
024648,縣立新南國小,公立,[02]宜蘭縣,宜蘭縣壯圍鄉美福路一段1號
024649,縣立五結國小,公立,[02]宜蘭縣,宜蘭縣五結鄉五結中路二段88號
024650,縣立學進國小,公立,[02]宜蘭縣,宜蘭縣五結鄉中正路三段151號
024651,縣立中興國小,公立,[02]宜蘭縣,宜蘭縣五結鄉四結村中興路三段67號
024652,縣立利澤國小,公立,[02]宜蘭縣,宜蘭縣五結鄉成興村利寶路101號
024653,縣立孝威國小,公立,[02]宜蘭縣,宜蘭縣五結鄉孝威路328號
024654,縣立冬山國小,公立,[02]宜蘭縣,宜蘭縣冬山鄉安平村安中路35號
024655,縣立東興國小,公立,[02]宜蘭縣,宜蘭縣冬山鄉東城村東城路316號
024656,縣立順安國小,公立,[02]宜蘭縣,宜蘭縣冬山鄉順安村永興路二段17號
024657,縣立武淵國小,公立,[02]宜蘭縣,宜蘭縣冬山鄉武淵村富農路二段350號
024658,縣立廣興國小,公立,[02]宜蘭縣,宜蘭縣冬山鄉廣興村梅花路303號
024659,縣立大進國小,公立,[02]宜蘭縣,宜蘭縣冬山鄉大進村大進七路51號
024660,縣立柯林國小,公立,[02]宜蘭縣,宜蘭縣冬山鄉柯林村光華路158號
024661,縣立三星國小,公立,[02]宜蘭縣,宜蘭縣三星鄉三星路五段86號
024662,縣立大洲國小,公立,[02]宜蘭縣,宜蘭縣三星鄉大洲村上將路二段500號
024663,縣立憲明國小,公立,[02]宜蘭縣,宜蘭縣三星鄉天山村福山街119號
024664,縣立萬富國小,公立,[02]宜蘭縣,宜蘭縣三星鄉萬富村健富路一段309號
024665,縣立大隱國小,公立,[02]宜蘭縣,宜蘭縣三星鄉大隱中路347號
024668,縣立四季國小,公立,[02]宜蘭縣,宜蘭縣大同鄉四季村和勳巷1號
024669,縣立南山國小,公立,[02]宜蘭縣,宜蘭縣大同鄉南山村四鄰埤南巷31之3號
024670,縣立大同國小,公立,[02]宜蘭縣,宜蘭縣大同鄉崙埤村朝陽10之9號
024671,縣立寒溪國小,公立,[02]宜蘭縣,宜蘭縣大同鄉寒溪村寒溪巷16號
024672,縣立南澳國小,公立,[02]宜蘭縣,宜蘭縣南澳鄉南澳村中正路15號
024673,縣立碧候國小,公立,[02]宜蘭縣,宜蘭縣南澳鄉碧候村自覺巷38號
024674,縣立武塔國小,公立,[02]宜蘭縣,宜蘭縣南澳鄉武塔村新溪路1號
024675,縣立澳花國小,公立,[02]宜蘭縣,宜蘭縣南澳鄉澳花村中央路19號
024676,縣立東澳國小,公立,[02]宜蘭縣,宜蘭縣南澳鄉東岳村蘇花路三段209號
024677,縣立金岳國小,公立,[02]宜蘭縣,宜蘭縣南澳鄉金岳村 (路) 二號
024678,縣立金洋國小,公立,[02]宜蘭縣,宜蘭縣南澳鄉金洋村金洋路11號
024698,縣立人文國(中)小,公立,[02]宜蘭縣,宜蘭縣頭城鎮拔雅里文雅路150號
024701,縣立清溝國小,公立,[02]宜蘭縣,宜蘭縣冬山鄉清溝村永清路369號
024501,縣立宜蘭國中,公立,[02]宜蘭縣,宜蘭縣宜蘭市樹人路37號
024502,縣立中華國中,公立,[02]宜蘭縣,宜蘭縣宜蘭市女中路一段100號
024503,縣立復興國中,公立,[02]宜蘭縣,宜蘭縣宜蘭市復興路二段77號
024504,縣立羅東國中,公立,[02]宜蘭縣,宜蘭縣羅東鎮中華路99號
024505,縣立東光國中,公立,[02]宜蘭縣,宜蘭縣羅東鎮興東南路201號
024506,縣立國華國中,公立,[02]宜蘭縣,宜蘭縣羅東鎮國華街101號
024507,縣立頭城國中,公立,[02]宜蘭縣,宜蘭縣頭城鎮復興路145號
024508,縣立蘇澳國中,公立,[02]宜蘭縣,宜蘭縣蘇澳鎮中山路二段1號
024509,縣立文化國中,公立,[02]宜蘭縣,宜蘭縣蘇澳鎮永榮里新馬路2號
024510,縣立南安國中,公立,[02]宜蘭縣,宜蘭縣蘇澳鎮學府路117號
024511,縣立三星國中,公立,[02]宜蘭縣,宜蘭縣三星鄉星義路72號
024512,縣立礁溪國中,公立,[02]宜蘭縣,宜蘭縣礁溪鄉礁溪路四段23號
024513,縣立吳沙國中,公立,[02]宜蘭縣,宜蘭縣礁溪鄉育英路79號
024514,縣立冬山國中,公立,[02]宜蘭縣,宜蘭縣冬山鄉南興村照安路26號
024515,縣立順安國中,公立,[02]宜蘭縣,宜蘭縣冬山鄉順安村永興路一段359號
024516,縣立五結國中,公立,[02]宜蘭縣,宜蘭縣五結鄉大吉村大吉五路58號
024517,縣立興中國中,公立,[02]宜蘭縣,宜蘭縣五結鄉上四村中正東路50號
024518,縣立利澤國中,公立,[02]宜蘭縣,宜蘭縣五結鄉成興村利寶路99號
024519,縣立員山國中,公立,[02]宜蘭縣,宜蘭縣員山鄉溫泉路92號
024520,縣立內城國中(小),公立,[02]宜蘭縣,宜蘭縣員山鄉內城村內城路545號
024521,縣立壯圍國中,公立,[02]宜蘭縣,宜蘭縣壯圍鄉富祥路588號
024523,縣立大同國中,公立,[02]宜蘭縣,宜蘭縣大同鄉太平村一鄰泰雅路四段35號
024524,縣立凱旋國中,公立,[02]宜蘭縣,宜蘭縣宜蘭市建業里10鄰縣政七街50巷1號
024526,縣立人文國中(小),公立,[02]宜蘭縣,宜蘭縣頭城鎮拔雅里文雅路150號
024527,縣立岳明國中(小),公立,[02]宜蘭縣,宜蘭縣蘇澳鎮嶺腳路140號
020301,國立蘭陽女中,公立,[02]宜蘭縣,宜蘭縣宜蘭市女中路二段355號
020302,國立宜蘭高中,公立,[02]宜蘭縣,宜蘭縣宜蘭市復興路三段8號
020308,國立羅東高中,公立,[02]宜蘭縣,宜蘭縣羅東鎮公正路324號
020403,國立宜蘭高商,公立,[02]宜蘭縣,宜蘭縣宜蘭市延平路50號
020404,國立羅東高商,公立,[02]宜蘭縣,宜蘭縣羅東鎮中山路4段360號
020405,國立蘇澳海事,公立,[02]宜蘭縣,宜蘭縣蘇澳鎮蘇港路213號
020407,國立羅東高工,公立,[02]宜蘭縣,宜蘭縣冬山鄉廣興路117號
020409,國立頭城家商,公立,[02]宜蘭縣,宜蘭縣頭城鎮新興路111號
021301,私立慧燈高中,私立,[02]宜蘭縣,宜蘭縣員山鄉枕山村枕山路117-60號
021310,私立中道高中,私立,[02]宜蘭縣,宜蘭縣壯圍鄉功勞村中央路三段312巷7號
024322,縣立南澳高中,公立,[02]宜蘭縣,宜蘭縣南澳鄉蘇花路二段301號
024325,縣立慈心華德福實中,公立,[02]宜蘭縣,宜蘭縣冬山鄉照安路257號
0031,國立宜蘭大學,公立,[02]宜蘭縣,宜蘭縣宜蘭市神農路一段1號
1050,佛光大學,私立,[02]宜蘭縣,宜蘭縣礁溪鄉林美村林尾路160號
1291,聖母醫護管理專科學校,私立,[02]宜蘭縣,宜蘭縣三星鄉三星路二段265巷100號
020F01,國立宜蘭特殊教育學校,公立,[02]宜蘭縣,宜蘭縣五結鄉國民中路22之20號
